ID,Fold,Frac_A,Frac_C,Frac_D,Frac_E,Frac_F,Frac_G,Frac_H,Frac_I,Frac_K,Frac_L,Frac_M,Frac_N,Frac_P,Frac_Q,Frac_R,Frac_S,Frac_T,Frac_V,Frac_W,Frac_Y,Length
P76264,Fold1,0.11170212765957446,0.005319148936170213,0.026595744680851064,0.0425531914893617,0.06382978723404255,0.13297872340425532,0.026595744680851064,0.10638297872340426,0.026595744680851064,0.1276595744680851,0.05319148936170213,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.0425531914893617,0.03723404255319149,0.06914893617021277,0.05851063829787234,0.026595744680851064,0.0,188
P17201,Fold1,0.10090556274256145,0.007761966364812419,0.06338939197930142,0.0517464424320828,0.03234152652005175,0.10090556274256145,0.014230271668822769,0.047865459249676584,0.04657179818887452,0.07761966364812418,0.03234152652005175,0.028460543337645538,0.05304010349288486,0.03622250970245795,0.0685640362225097,0.054333764553686936,0.062095730918499355,0.07761966364812418,0.02199223803363519,0.02199223803363519,773
P0ABB4,Fold1,0.07391304347826087,0.002173913043478261,0.058695652173913045,0.08478260869565217,0.030434782608695653,0.09782608695652174,0.015217391304347827,0.058695652173913045,0.043478260869565216,0.09130434782608696,0.03260869565217391,0.02391304347826087,0.043478260869565216,0.043478260869565216,0.05652173913043478,0.05434782608695652,0.05217391304347826,0.10217391304347827,0.002173913043478261,0.03260869565217391,460
P76169,Fold1,0.12037037037037036,0.037037037037037035,0.018518518518518517,0.009259259259259259,0.037037037037037035,0.09259259259259259,0.009259259259259259,0.07407407407407407,0.027777777777777776,0.19444444444444445,0.027777777777777776,0.009259259259259259,0.027777777777777776,0.0,0.037037037037037035,0.027777777777777776,0.07407407407407407,0.07407407407407407,0.06481481481481481,0.037037037037037035,108
P08550,Fold1,0.08641975308641975,0.018518518518518517,0.037037037037037035,0.030864197530864196,0.10493827160493827,0.07407407407407407,0.006172839506172839,0.09876543209876543,0.018518518518518517,0.1111111111111111,0.006172839506172839,0.012345679012345678,0.012345679012345678,0.024691358024691357,0.043209876543209874,0.10493827160493827,0.043209876543209874,0.1111111111111111,0.024691358024691357,0.030864197530864196,162
P08848,Fold1,0.047337278106508875,0.005917159763313609,0.011834319526627219,0.0650887573964497,0.011834319526627219,0.05325443786982249,0.04142011834319527,0.04142011834319527,0.023668639053254437,0.13609467455621302,0.047337278106508875,0.04142011834319527,0.05917159763313609,0.08875739644970414,0.0650887573964497,0.10650887573964497,0.05917159763313609,0.05325443786982249,0.023668639053254437,0.01775147928994083,169
P0AE14,Fold1,0.10211267605633803,0.007042253521126761,0.02464788732394366,0.035211267605633804,0.056338028169014086,0.07394366197183098,0.045774647887323945,0.04225352112676056,0.028169014084507043,0.16549295774647887,0.02464788732394366,0.014084507042253521,0.03169014084507042,0.03169014084507042,0.06338028169014084,0.03169014084507042,0.06338028169014084,0.09154929577464789,0.03169014084507042,0.035211267605633804,284
Q9RPF3,Fold1,0.13211845102505695,0.009111617312072893,0.029612756264236904,0.02733485193621868,0.05239179954441914,0.09111617312072894,0.015945330296127564,0.05011389521640091,0.011389521640091117,0.17312072892938496,0.01366742596810934,0.01366742596810934,0.04328018223234624,0.02733485193621868,0.05011389521640091,0.08200455580865604,0.04783599088838269,0.08656036446469248,0.022779043280182234,0.02050113895216401,439
P04124,Fold1,0.10144927536231885,0.0,0.014492753623188406,0.07246376811594203,0.028985507246376812,0.057971014492753624,0.028985507246376812,0.057971014492753624,0.043478260869565216,0.13043478260869565,0.014492753623188406,0.014492753623188406,0.057971014492753624,0.014492753623188406,0.014492753623188406,0.057971014492753624,0.08695652173913043,0.11594202898550725,0.043478260869565216,0.043478260869565216,69
P32129,Fold1,0.04516129032258064,0.02903225806451613,0.03870967741935484,0.03225806451612903,0.054838709677419356,0.035483870967741936,0.03870967741935484,0.06129032258064516,0.06451612903225806,0.14838709677419354,0.03225806451612903,0.04838709677419355,0.04516129032258064,0.04838709677419355,0.06129032258064516,0.05161290322580645,0.04516129032258064,0.06774193548387097,0.02903225806451613,0.02258064516129032,310
P56580,Fold1,0.09717868338557993,0.012539184952978056,0.04075235109717868,0.034482758620689655,0.034482758620689655,0.12225705329153605,0.01567398119122257,0.10031347962382445,0.04075235109717868,0.10031347962382445,0.018808777429467086,0.012539184952978056,0.06583072100313479,0.034482758620689655,0.03134796238244514,0.05642633228840126,0.06269592476489028,0.0877742946708464,0.012539184952978056,0.018808777429467086,319
P02942,Fold1,0.14156079854809436,0.0,0.047186932849364795,0.07441016333938294,0.023593466424682397,0.06352087114337568,0.009074410163339383,0.06352087114337568,0.032667876588021776,0.08166969147005444,0.030852994555353903,0.05263157894736842,0.012704174228675136,0.07078039927404718,0.0544464609800363,0.0780399274047187,0.0544464609800363,0.08348457350272233,0.009074410163339383,0.016333938294010888,551
