ID,Fold,Frac_A,Frac_C,Frac_D,Frac_E,Frac_F,Frac_G,Frac_H,Frac_I,Frac_K,Frac_L,Frac_M,Frac_N,Frac_P,Frac_Q,Frac_R,Frac_S,Frac_T,Frac_V,Frac_W,Frac_Y,Length
P23453,Fold1,0.04216867469879518,0.006024096385542169,0.05421686746987952,0.10240963855421686,0.03313253012048193,0.04819277108433735,0.024096385542168676,0.09337349397590361,0.0572289156626506,0.08734939759036145,0.0391566265060241,0.045180722891566265,0.045180722891566265,0.04216867469879518,0.04216867469879518,0.07228915662650602,0.060240963855421686,0.08132530120481928,0.006024096385542169,0.018072289156626505,332
P07373,Fold1,0.06284153005464481,0.00819672131147541,0.02459016393442623,0.01639344262295082,0.08469945355191257,0.10655737704918032,0.00273224043715847,0.10382513661202186,0.030054644808743168,0.13934426229508196,0.04371584699453552,0.01639344262295082,0.03825136612021858,0.0273224043715847,0.03825136612021858,0.07377049180327869,0.04918032786885246,0.08469945355191257,0.01912568306010929,0.030054644808743168,366
P12921,Fold1,0.07614213197969544,0.005076142131979695,0.05583756345177665,0.05583756345177665,0.04568527918781726,0.050761421319796954,0.030456852791878174,0.08629441624365482,0.04568527918781726,0.10152284263959391,0.030456852791878174,0.04060913705583756,0.04568527918781726,0.04060913705583756,0.09137055837563451,0.06091370558375635,0.050761421319796954,0.04060913705583756,0.015228426395939087,0.030456852791878174,197
P19579,Fold1,0.07542579075425791,0.0,0.06569343065693431,0.058394160583941604,0.031630170316301706,0.05596107055961071,0.0340632603406326,0.051094890510948905,0.1192214111922141,0.07542579075425791,0.021897810218978103,0.058394160583941604,0.0340632603406326,0.0413625304136253,0.0364963503649635,0.038929440389294405,0.06082725060827251,0.09732360097323602,0.009732360097323601,0.0340632603406326,411
A2RMA8,Fold1,0.08249496981891348,0.0,0.022132796780684104,0.02414486921529175,0.07243460764587525,0.08651911468812877,0.012072434607645875,0.10865191146881288,0.03420523138832998,0.12877263581488935,0.03621730382293763,0.04024144869215292,0.04225352112676056,0.028169014084507043,0.03621730382293763,0.06639839034205232,0.05835010060362173,0.06841046277665996,0.02012072434607646,0.03219315895372234,497
A6QIG2,Fold1,0.053082191780821915,0.0,0.06335616438356165,0.02054794520547945,0.023972602739726026,0.04452054794520548,0.0136986301369863,0.0839041095890411,0.1558219178082192,0.08047945205479452,0.0017123287671232876,0.09075342465753425,0.018835616438356163,0.030821917808219176,0.023972602739726026,0.09075342465753425,0.07705479452054795,0.0702054794520548,0.0017123287671232876,0.0547945205479452,584
P35594,Fold1,0.0598404255319149,0.005319148936170213,0.07845744680851063,0.07579787234042554,0.03324468085106383,0.0797872340425532,0.015957446808510637,0.08244680851063829,0.08111702127659574,0.08377659574468085,0.023936170212765957,0.05319148936170213,0.0425531914893617,0.04654255319148936,0.05186170212765957,0.05053191489361702,0.05186170212765957,0.05851063829787234,0.0,0.02526595744680851,752
P0A3G5,Fold1,0.06540084388185655,0.0,0.04008438818565401,0.06751054852320675,0.03375527426160337,0.04852320675105485,0.004219409282700422,0.06962025316455696,0.08860759493670886,0.10337552742616034,0.010548523206751054,0.06751054852320675,0.03375527426160337,0.09915611814345991,0.012658227848101266,0.10126582278481013,0.07383966244725738,0.04430379746835443,0.0,0.035864978902953586,474
P39755,Fold1,0.08712871287128712,0.005940594059405941,0.013861386138613862,0.019801980198019802,0.061386138613861385,0.0891089108910891,0.0297029702970297,0.08316831683168317,0.015841584158415842,0.1702970297029703,0.0297029702970297,0.011881188118811881,0.027722772277227723,0.031683168316831684,0.04356435643564356,0.09108910891089109,0.04950495049504951,0.08118811881188119,0.033663366336633666,0.023762376237623763,505
P33379,Fold1,0.08450704225352113,0.001564945226917058,0.054773082942097026,0.11424100156494522,0.03912363067292645,0.03599374021909233,0.006259780907668232,0.053208137715179966,0.09076682316118936,0.07198748043818466,0.018779342723004695,0.06572769953051644,0.0892018779342723,0.025039123630672927,0.04225352112676056,0.09546165884194054,0.06885758998435054,0.03599374021909233,0.003129890453834116,0.003129890453834116,639
P0C0N4,Fold1,0.04639175257731959,0.010309278350515464,0.020618556701030927,0.02577319587628866,0.07731958762886598,0.030927835051546393,0.04639175257731959,0.15979381443298968,0.08247422680412371,0.14948453608247422,0.015463917525773196,0.041237113402061855,0.03608247422680412,0.03608247422680412,0.03608247422680412,0.041237113402061855,0.04639175257731959,0.05670103092783505,0.0,0.041237113402061855,194
Q2FV54,Fold1,0.06135986733001658,0.003316749585406302,0.04809286898839138,0.03980099502487562,0.06799336650082918,0.05638474295190713,0.01824212271973466,0.1077943615257048,0.09286898839137644,0.11608623548922056,0.014925373134328358,0.026533996683250415,0.03482587064676617,0.03648424543946932,0.03482587064676617,0.05638474295190713,0.04809286898839138,0.07131011608623548,0.014925373134328358,0.04975124378109453,603
P0A4D8,Fold1,0.07633587786259542,0.0,0.06297709923664122,0.08587786259541985,0.04389312977099236,0.08587786259541985,0.009541984732824428,0.0648854961832061,0.09351145038167939,0.08778625954198473,0.019083969465648856,0.03244274809160305,0.03816793893129771,0.04198473282442748,0.08778625954198473,0.04198473282442748,0.05343511450381679,0.05725190839694656,0.0,0.01717557251908397,524
P35865,Fold1,0.10778443113772455,0.005988023952095809,0.023952095808383235,0.021956087824351298,0.05788423153692615,0.09780439121756487,0.013972055888223553,0.07584830339321358,0.011976047904191617,0.1157684630738523,0.02594810379241517,0.017964071856287425,0.031936127744510975,0.031936127744510975,0.041916167664670656,0.09181636726546906,0.0499001996007984,0.11776447105788423,0.023952095808383235,0.033932135728542916,501
Q9CD58,Fold1,0.10165184243964422,0.0038119440914866584,0.06480304955527319,0.062261753494282084,0.03430749682337993,0.10165184243964422,0.01905972045743329,0.045743329097839895,0.045743329097839895,0.07623888182973317,0.021601016518424398,0.0241423125794155,0.08640406607369759,0.043202033036848796,0.062261753494282084,0.04955527318932656,0.053367217280813214,0.06734434561626429,0.010165184243964422,0.026683608640406607,787
P46922,Fold1,0.10580204778156997,0.0034129692832764505,0.06143344709897611,0.06143344709897611,0.010238907849829351,0.07167235494880546,0.013651877133105802,0.07508532423208192,0.11604095563139932,0.06825938566552901,0.040955631399317405,0.03754266211604096,0.030716723549488054,0.030716723549488054,0.010238907849829351,0.07508532423208192,0.06484641638225255,0.05460750853242321,0.027303754266211604,0.040955631399317405,293
P46105,Fold1,0.14705882352941177,0.005190311418685121,0.03633217993079585,0.03806228373702422,0.04671280276816609,0.12283737024221453,0.006920415224913495,0.039792387543252594,0.015570934256055362,0.14359861591695502,0.025951557093425604,0.006920415224913495,0.05190311418685121,0.029411764705882353,0.05709342560553633,0.04844290657439446,0.05709342560553633,0.0986159169550173,0.015570934256055362,0.006920415224913495,578
O31652,Fold1,0.10625,0.00625,0.03125,0.015625,0.08125,0.06875,0.0125,0.084375,0.05625,0.09375,0.0625,0.021875,0.04375,0.00625,0.034375,0.0625,0.075,0.06875,0.021875,0.046875,320
Q07833,Fold1,0.0715509854327335,0.0,0.07369323050556983,0.055269922879177376,0.027849185946872322,0.08526135389888603,0.01456726649528706,0.03984575835475578,0.09940017137960583,0.054413024850042846,0.00856898029134533,0.07369323050556983,0.030848329048843187,0.030848329048843187,0.022279348757497857,0.08097686375321336,0.09297343616109682,0.05741216795201371,0.015424164524421594,0.06512425021422451,2334
P33251,Fold1,0.06060606060606061,0.0,0.013468013468013467,0.03367003367003367,0.08080808080808081,0.05723905723905724,0.006734006734006734,0.09764309764309764,0.05387205387205387,0.1447811447811448,0.03367003367003367,0.03367003367003367,0.04713804713804714,0.037037037037037035,0.020202020202020204,0.07744107744107744,0.0707070707070707,0.07744107744107744,0.016835016835016835,0.037037037037037035,297
O06493,Fold1,0.10975609756097561,0.0,0.034552845528455285,0.02032520325203252,0.06300813008130081,0.09146341463414634,0.014227642276422764,0.10772357723577236,0.044715447154471545,0.13008130081300814,0.042682926829268296,0.012195121951219513,0.03048780487804878,0.008130081300813009,0.032520325203252036,0.07723577235772358,0.054878048780487805,0.07113821138211382,0.018292682926829267,0.036585365853658534,492
O34894,Fold1,0.0800711743772242,0.0017793594306049821,0.0498220640569395,0.15480427046263345,0.023131672597864767,0.03558718861209965,0.026690391459074734,0.07651245551601424,0.09074733096085409,0.11743772241992882,0.01601423487544484,0.033807829181494664,0.014234875444839857,0.0498220640569395,0.046263345195729534,0.060498220640569395,0.030249110320284697,0.0498220640569395,0.0071174377224199285,0.03558718861209965,562
P53663,Fold1,0.09219858156028368,0.0,0.09692671394799054,0.061465721040189124,0.03309692671394799,0.030732860520094562,0.002364066193853428,0.02364066193853428,0.030732860520094562,0.03546099290780142,0.02364066193853428,0.08274231678486997,0.09456264775413711,0.09692671394799054,0.0425531914893617,0.0425531914893617,0.0591016548463357,0.04018912529550828,0.004728132387706856,0.10638297872340426,423
P35165,Fold1,0.03608247422680412,0.010309278350515464,0.07731958762886598,0.08247422680412371,0.041237113402061855,0.030927835051546393,0.030927835051546393,0.05670103092783505,0.05670103092783505,0.10824742268041238,0.02577319587628866,0.015463917525773196,0.005154639175257732,0.08762886597938144,0.08762886597938144,0.05670103092783505,0.07216494845360824,0.06701030927835051,0.015463917525773196,0.03608247422680412,194
Q08429,Fold1,0.078125,0.0078125,0.046875,0.0859375,0.0390625,0.0625,0.0625,0.0390625,0.078125,0.0703125,0.0234375,0.03125,0.0625,0.0390625,0.046875,0.0390625,0.0625,0.0625,0.0078125,0.0546875,128
P12667,Fold1,0.08843537414965986,0.013605442176870748,0.09523809523809523,0.08163265306122448,0.027210884353741496,0.08163265306122448,0.02040816326530612,0.08163265306122448,0.07482993197278912,0.04081632653061224,0.027210884353741496,0.013605442176870748,0.04081632653061224,0.027210884353741496,0.047619047619047616,0.061224489795918366,0.07482993197278912,0.05442176870748299,0.013605442176870748,0.034013605442176874,147
P13485,Fold1,0.036193029490616625,0.005361930294906166,0.049597855227882036,0.08579088471849866,0.06032171581769437,0.04155495978552279,0.014745308310991957,0.06702412868632708,0.10455764075067024,0.09115281501340483,0.028150134048257374,0.05361930294906166,0.04423592493297587,0.02680965147453083,0.054959785522788206,0.06300268096514745,0.05361930294906166,0.049597855227882036,0.00938337801608579,0.06032171581769437,746
P33116,Fold1,0.03745928338762215,0.0016286644951140066,0.035830618892508145,0.0732899022801303,0.06026058631921824,0.048859934853420196,0.021172638436482084,0.10912052117263844,0.09446254071661238,0.11889250814332247,0.030944625407166124,0.04234527687296417,0.02280130293159609,0.043973941368078175,0.024429967426710098,0.08143322475570032,0.04071661237785016,0.05211726384364821,0.011400651465798045,0.048859934853420196,614
Q07428,Fold1,0.034482758620689655,0.008620689655172414,0.017241379310344827,0.10344827586206896,0.034482758620689655,0.09482758620689655,0.017241379310344827,0.07758620689655173,0.09482758620689655,0.06896551724137931,0.017241379310344827,0.04310344827586207,0.034482758620689655,0.034482758620689655,0.04310344827586207,0.0603448275862069,0.07758620689655173,0.11206896551724138,0.0,0.02586206896551724,116
Q5HKQ0,Fold1,0.055825242718446605,0.012135922330097087,0.050970873786407765,0.050970873786407765,0.0703883495145631,0.04854368932038835,0.012135922330097087,0.10922330097087378,0.07524271844660194,0.08980582524271845,0.021844660194174758,0.043689320388349516,0.02912621359223301,0.02669902912621359,0.03155339805825243,0.07524271844660194,0.050970873786407765,0.06067961165048544,0.02669902912621359,0.05825242718446602,412
P33113,Fold1,0.06318082788671024,0.008714596949891068,0.0392156862745098,0.08496732026143791,0.034858387799564274,0.05010893246187364,0.023965141612200435,0.09586056644880174,0.09586056644880174,0.11982570806100218,0.023965141612200435,0.06100217864923747,0.02178649237472767,0.030501089324618737,0.032679738562091505,0.04793028322440087,0.06753812636165578,0.0457516339869281,0.004357298474945534,0.04793028322440087,459
P42177,Fold1,0.053811659192825115,0.008968609865470852,0.026905829596412557,0.026905829596412557,0.06278026905829596,0.08968609865470852,0.03587443946188341,0.08520179372197309,0.04932735426008968,0.13452914798206278,0.03587443946188341,0.004484304932735426,0.04035874439461883,0.013452914798206279,0.053811659192825115,0.07174887892376682,0.053811659192825115,0.07623318385650224,0.026905829596412557,0.04932735426008968,223
P34956,Fold1,0.06317411402157165,0.0061633281972265025,0.023112480739599383,0.030816640986132512,0.1016949152542373,0.08628659476117104,0.02157164869029276,0.09090909090909091,0.03697996918335902,0.09090909090909091,0.05855161787365177,0.040061633281972264,0.04160246533127889,0.01386748844375963,0.026194144838212634,0.06317411402157165,0.06317411402157165,0.06471494607087827,0.03389830508474576,0.04314329738058552,649
P0A4Y0,Fold1,0.15124153498871332,0.006772009029345372,0.05869074492099323,0.045146726862302484,0.045146726862302484,0.07900677200902935,0.01580135440180587,0.040632054176072234,0.022573363431151242,0.08803611738148984,0.020316027088036117,0.01580135440180587,0.05191873589164785,0.024830699774266364,0.06997742663656885,0.04288939051918736,0.060948081264108354,0.12415349887133183,0.01580135440180587,0.020316027088036117,443
P37948,Fold1,0.09234234234234234,0.01126126126126126,0.02702702702702703,0.02927927927927928,0.09234234234234234,0.08783783783783784,0.01126126126126126,0.09684684684684684,0.04054054054054054,0.0945945945945946,0.033783783783783786,0.04279279279279279,0.0472972972972973,0.018018018018018018,0.038288288288288286,0.05405405405405406,0.04054054054054054,0.06756756756756757,0.02927927927927928,0.04504504504504504,444
Q79VE9,Fold1,0.08719851576994433,0.0018552875695732839,0.03896103896103896,0.04081632653061224,0.05380333951762523,0.09461966604823747,0.03153988868274583,0.09090909090909091,0.02040816326530612,0.1150278293135436,0.03896103896103896,0.04081632653061224,0.05194805194805195,0.02411873840445269,0.05009276437847866,0.03710575139146568,0.04452690166975881,0.07977736549165121,0.02040816326530612,0.03710575139146568,539
P39843,Fold1,0.095,0.005,0.02,0.025,0.1,0.0875,0.02,0.1175,0.05,0.1125,0.04,0.0275,0.0275,0.0175,0.025,0.0825,0.0525,0.07,0.005,0.02,400
P20166,Fold1,0.09012875536480687,0.002861230329041488,0.03719599427753934,0.055793991416309016,0.06866952789699571,0.10157367668097282,0.015736766809728183,0.08869814020028613,0.045779685264663805,0.10300429184549356,0.031473533619456366,0.03719599427753934,0.05436337625178827,0.03862660944206009,0.030042918454935622,0.04721030042918455,0.044349070100143065,0.08297567954220315,0.005722460658082976,0.01859799713876967,699
P14677,Fold1,0.07866666666666666,0.0,0.05333333333333334,0.06133333333333333,0.03866666666666667,0.07733333333333334,0.008,0.058666666666666666,0.068,0.07066666666666667,0.030666666666666665,0.05333333333333334,0.04,0.050666666666666665,0.036,0.07466666666666667,0.088,0.06933333333333333,0.008,0.034666666666666665,750
P22094,Fold1,0.11418685121107267,0.0,0.02422145328719723,0.01730103806228374,0.058823529411764705,0.10726643598615918,0.01384083044982699,0.0657439446366782,0.03806228373702422,0.11418685121107267,0.03806228373702422,0.04844290657439446,0.04152249134948097,0.03460207612456748,0.01384083044982699,0.0657439446366782,0.05536332179930796,0.08650519031141868,0.031141868512110725,0.031141868512110725,289
P25051,Fold1,0.09912536443148688,0.026239067055393587,0.04956268221574344,0.07580174927113703,0.03206997084548105,0.07871720116618076,0.01749271137026239,0.08163265306122448,0.06997084548104957,0.0728862973760933,0.02040816326530612,0.043731778425655975,0.037900874635568516,0.026239067055393587,0.04081632653061224,0.0728862973760933,0.026239067055393587,0.08454810495626822,0.008746355685131196,0.03498542274052478,343
P26829,Fold1,0.08477842003853564,0.009633911368015413,0.06165703275529865,0.08092485549132948,0.030828516377649325,0.0905587668593449,0.017341040462427744,0.0674373795761079,0.05394990366088632,0.08863198458574181,0.025048169556840076,0.04816955684007707,0.038535645472061654,0.03468208092485549,0.03275529865125241,0.07129094412331406,0.04816955684007707,0.0905587668593449,0.0038535645472061657,0.02119460500963391,519
P0A4N3,Fold1,0.08928571428571429,0.0035714285714285713,0.02857142857142857,0.014285714285714285,0.08928571428571429,0.06785714285714285,0.007142857142857143,0.08571428571428572,0.04642857142857143,0.14642857142857144,0.04285714285714286,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05357142857142857,0.05714285714285714,0.060714285714285714,0.017857142857142856,0.04642857142857143,280
P0A5I8,Fold1,0.1271186440677966,0.00847457627118644,0.059322033898305086,0.0211864406779661,0.0211864406779661,0.0847457627118644,0.012711864406779662,0.046610169491525424,0.05084745762711865,0.08050847457627118,0.012711864406779662,0.05084745762711865,0.07203389830508475,0.05508474576271186,0.03389830508474576,0.06779661016949153,0.08898305084745763,0.0847457627118644,0.012711864406779662,0.00847457627118644,236
Q9ZEP5,Fold1,0.13333333333333333,0.013333333333333334,0.08888888888888889,0.057777777777777775,0.013333333333333334,0.10222222222222223,0.008888888888888889,0.013333333333333334,0.04888888888888889,0.03111111111111111,0.0044444444444444444,0.022222222222222223,0.08,0.013333333333333334,0.06222222222222222,0.07111111111111111,0.06666666666666667,0.12,0.0044444444444444444,0.044444444444444446,225
P0C0H0,Fold1,0.057279236276849645,0.014319809069212411,0.045346062052505964,0.04295942720763723,0.05489260143198091,0.0405727923627685,0.016706443914081145,0.0954653937947494,0.05489260143198091,0.13126491646778043,0.014319809069212411,0.05489260143198091,0.03341288782816229,0.031026252983293555,0.0477326968973747,0.06682577565632458,0.059665871121718374,0.07637231503579953,0.00954653937947494,0.05250596658711217,419
O07002,Fold1,0.08846153846153847,0.007692307692307693,0.019230769230769232,0.013461538461538462,0.07115384615384615,0.08846153846153847,0.011538461538461539,0.12115384615384615,0.04038461538461539,0.11730769230769231,0.019230769230769232,0.032692307692307694,0.046153846153846156,0.023076923076923078,0.019230769230769232,0.08653846153846154,0.05,0.0673076923076923,0.032692307692307694,0.04423076923076923,520
Q05523,Fold1,0.07964601769911504,0.00663716814159292,0.05088495575221239,0.06637168141592921,0.033185840707964605,0.07300884955752213,0.00663716814159292,0.033185840707964605,0.11283185840707964,0.10398230088495575,0.03982300884955752,0.046460176991150445,0.030973451327433628,0.022123893805309734,0.0420353982300885,0.0420353982300885,0.06858407079646017,0.07743362831858407,0.017699115044247787,0.046460176991150445,452
P54178,Fold1,0.05181347150259067,0.02072538860103627,0.07772020725388601,0.06217616580310881,0.06735751295336788,0.06217616580310881,0.010362694300518135,0.06735751295336788,0.10362694300518134,0.08808290155440414,0.015544041450777202,0.05181347150259067,0.05181347150259067,0.046632124352331605,0.0051813471502590676,0.06735751295336788,0.046632124352331605,0.06217616580310881,0.010362694300518135,0.031088082901554404,193
P68782,Fold1,0.056074766355140186,0.003115264797507788,0.018691588785046728,0.021806853582554516,0.09657320872274143,0.09034267912772585,0.021806853582554516,0.13707165109034267,0.040498442367601244,0.1277258566978193,0.03426791277258567,0.03426791277258567,0.03115264797507788,0.028037383177570093,0.009345794392523364,0.06230529595015576,0.06230529595015576,0.09345794392523364,0.01557632398753894,0.01557632398753894,321
P40411,Fold1,0.10406091370558376,0.012690355329949238,0.025380710659898477,0.025380710659898477,0.06091370558375635,0.08121827411167512,0.012690355329949238,0.1065989847715736,0.03553299492385787,0.12436548223350254,0.030456852791878174,0.02284263959390863,0.04568527918781726,0.03553299492385787,0.06091370558375635,0.08883248730964467,0.030456852791878174,0.0583756345177665,0.017766497461928935,0.02030456852791878,394
P24011,Fold1,0.07303370786516854,0.014044943820224719,0.05056179775280899,0.07303370786516854,0.047752808988764044,0.05337078651685393,0.011235955056179775,0.0449438202247191,0.10393258426966293,0.10674157303370786,0.02247191011235955,0.0449438202247191,0.0449438202247191,0.016853932584269662,0.033707865168539325,0.05898876404494382,0.06179775280898876,0.08707865168539326,0.019662921348314606,0.03089887640449438,356
O30417,Fold1,0.08349900596421471,0.0019880715705765406,0.011928429423459244,0.03578528827037773,0.0874751491053678,0.08548707753479125,0.02982107355864811,0.10337972166998012,0.04771371769383698,0.12524850894632206,0.02186878727634195,0.033797216699801194,0.041749502982107355,0.02982107355864811,0.015904572564612324,0.0536779324055666,0.0536779324055666,0.09145129224652088,0.015904572564612324,0.02982107355864811,503
P0A3S3,Fold1,0.08759124087591241,0.0,0.0364963503649635,0.043795620437956206,0.010948905109489052,0.072992700729927,0.010948905109489052,0.025547445255474453,0.09124087591240876,0.0948905109489051,0.0072992700729927005,0.072992700729927,0.040145985401459854,0.06204379562043796,0.032846715328467155,0.0948905109489051,0.08029197080291971,0.072992700729927,0.014598540145985401,0.04744525547445255,274
O52351,Fold1,0.05823293172690763,0.0,0.02610441767068273,0.03413654618473896,0.05823293172690763,0.07228915662650602,0.010040160642570281,0.1285140562248996,0.04417670682730924,0.13052208835341367,0.020080321285140562,0.05823293172690763,0.050200803212851405,0.03815261044176707,0.04417670682730924,0.07630522088353414,0.05220883534136546,0.0642570281124498,0.004016064257028112,0.030120481927710843,498
